Link,Visualizacoes,Like,Deslikes,Like Comentarios,Qtd Caracteres,Codigo,Opiniao,Emoji ,Densidade semantica,Dificuldade,Densidade semantica 2,Dificuldade 2,Tristeza,Alegria,Medo,Aversao,Raiva,Pontuacao,Resultado
https://www.youtube.com/watch?v=YUeiAhpPMjQ,810,76,2,0,18,0,1,0,5,4,5,4,0.0,0.5,0.0,0.0,0.0,0.5,1
https://www.youtube.com/watch?v=XinLASYOJE4,4.366,433,2,6,261,0,1,1,3,1,3,2,0.205,0.35,0.0,0.0,0.0,0.29,0
https://www.youtube.com/watch?v=XinLASYOJE4,4.366,433,2,1,133,1,0,0,3,1,3,2,0.0,0.9734375,0.0,0.0,0.0,0.9734375,1
https://www.youtube.com/watch?v=XinLASYOJE4,4.366,433,2,1,53,0,1,0,3,1,3,2,0.0,0.6770833333333334,0.0,0.0,0.0,0.6770833333333334,1
https://www.youtube.com/watch?v=XinLASYOJE4,4.366,433,2,1,105,0,1,0,3,1,3,2,0.0,0.80625,0.0,0.0,0.0,0.80625,1
https://www.youtube.com/watch?v=XinLASYOJE4,4.366,433,2,0,9,0,1,0,3,1,3,2,0.0,1.0,0.0,0.0,0.0,1.0,1
https://www.youtube.com/watch?v=XinLASYOJE4,4.366,433,2,0,146,0,1,0,3,1,3,2,0.0,1.0,0.0,0.0,0.0,1.0,1
https://www.youtube.com/watch?v=XinLASYOJE4,4.366,433,2,1,75,0,1,0,3,1,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0
https://www.youtube.com/watch?v=XinLASYOJE4,4.366,433,2,0,0,0,1,1,3,1,3,2,0,0,0,0,0,0,0
https://www.youtube.com/watch?v=XinLASYOJE4,4.366,433,2,0,11,0,1,0,3,1,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0
https://www.youtube.com/watch?v=XinLASYOJE4,4.366,433,2,0,26,1,0,0,3,1,3,2,0.0,0.75,0.0,0.0,0.0,0.75,1
https://www.youtube.com/watch?v=XinLASYOJE4,4.366,433,2,0,29,0,1,0,3,1,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0
https://www.youtube.com/watch?v=MOXLCjL4Ik4,44.680,2.100,8,38,77,0,1,0,3,2,3,3,0.0,1.0,0.0,0.0,0.0,1.0,1
https://www.youtube.com/watch?v=MOXLCjL4Ik4,44.680,2.100,8,18,71,0,1,0,3,2,3,3,0.0,1.0,0.0,0.0,0.0,1.0,1
https://www.youtube.com/watch?v=MOXLCjL4Ik4,44.680,2.100,8,0,84,0,1,0,3,2,3,3,0.0,0.525,0.0,0.0,0.0,0.525,1
https://www.youtube.com/watch?v=MOXLCjL4Ik4,44.680,2.100,8,0,91,0,1,0,3,2,3,3,0.19333333333333333,0.5916666666666667,0.0,0.58,0.7733333333333333,0.41,0
