Visualizacoes;Like;Deslikes;Like Comentarios;Qtd Caracteres;Codigo;Opiniao;Emoji ;Densidade semantica;Dificuldade;Tristeza;Alegria;Medo;Aversao;Raiva;Pontuacao;Resultado
44.693;2100;8;5;36;;1;;3;2;;0.9375;;;;0.9375;1
44.693;2100;8;5;36;;1;;3;3;;0.9375;;;;0.9375;1
44.693;2100;8;2;88;;1;;3;2;;0.9125;;;;0.9125;1
44.693;2100;8;2;88;;1;;3;3;;0.9125;;;;0.9125;1
44.693;2100;8;4;47;;1;;3;2;;0.7875;;;;0.7875;1
44.693;2100;8;4;47;;1;;3;3;;0.7875;;;;0.7875;1
44.693;2100;8;5;91;;1;;3;2;;0.60625;;;;0.60625;1
44.693;2100;8;5;91;;1;;3;3;;0.60625;;;;0.60625;1
44.693;2100;8;;202;;1;;3;2;;0.7583333333333333;;;;0.7583333333333333;1
44.693;2100;8;;202;;1;;3;3;;0.7583333333333333;;;;0.7583333333333333;1
44.693;2100;8;1;69;;1;;3;2;;1.0;;;;1.0;1
44.693;2100;8;1;69;;1;;3;3;;1.0;;;;1.0;1
44.693;2100;8;1;218;;1;;3;2;0.41333333333333333;0.4716666666666667;;;;0.53;
44.693;2100;8;1;218;;1;;3;3;0.41333333333333333;0.4716666666666667;;;;0.53;
44.693;2100;8;;41;;1;;3;2;;1.0;;;;1.0;1
44.693;2100;8;;41;;1;;3;3;;1.0;;;;1.0;1
44.693;2100;8;;36;;1;;3;2;;1.0;;;;1.0;1
44.693;2100;8;;36;;1;;3;3;;1.0;;;;1.0;1
44.693;2100;8;;45;;1;;3;2;;1.0;;;;1.0;1
44.693;2100;8;;45;;1;;3;3;;1.0;;;;1.0;1
44.693;2100;8;1;28;;1;;3;2;;0.9375;;;;0.9375;1
44.693;2100;8;1;28;;1;;3;3;;0.9375;;;;0.9375;1
44.693;2100;8;1;33;;1;;3;2;;0.8;;;;0.8;1
44.693;2100;8;1;33;;1;;3;3;;0.8;;;;0.8;1
44.693;2100;8;;27;;1;;3;2;;0.2625;;;;0.2625;1
44.693;2100;8;;27;;1;;3;3;;0.2625;;;;0.2625;1
44.693;2100;8;3;37;;1;;3;2;;0.25;;;;0.25;1
44.693;2100;8;3;37;;1;;3;3;;0.25;;;;0.25;1
44.693;2100;8;3;23;;1;;3;2;;1.0;;;;1.0;1
44.693;2100;8;3;23;;1;;3;3;;1.0;;;;1.0;1
44.693;2100;8;;54;;1;;3;2;;0.875;;;;0.875;1
44.693;2100;8;;54;;1;;3;3;;0.875;;;;0.875;1
44.693;2100;8;;161;;1;;3;2;0.145;0.45208333333333334;;;0.145;0.21041666666666667;
44.693;2100;8;;161;;1;;3;3;0.145;0.45208333333333334;;;0.145;0.21041666666666667;
44.693;2100;8;;236;;1;;3;2;;0.65625;;;;0.65625;1
44.693;2100;8;;236;;1;;3;3;;0.65625;;;;0.65625;1
44.693;2100;8;;24;;1;;3;2;;1.0;;;;1.0;1
44.693;2100;8;;24;;1;;3;3;;1.0;;;;1.0;1
44.693;2100;8;1;52;;1;;3;2;;0.525;;;;0.525;1
44.693;2100;8;1;52;;1;;3;3;;0.525;;;;0.525;1
44.693;2100;8;;18;;1;;3;2;;1.0;;;;1.0;1
