13/07/2021,16:00,Kabylie U21, Hussein Dey U21, 0, 0, 1.54,4.02,5.31,
12/07/2021,16:00,Bel Abbes U21, Mlila U21, 1, 0, 2.85,3.18,2.33,
12/07/2021,16:00,Bordj Bou Arreridj U21, Saoura U21, 2, 1, 4.59,3.31,1.74,
12/07/2021,16:00,Oran U21, ES Setif U21, 1, 3, 2.15,3.17,3.22,
12/07/2021,14:00,Constantine U21, Biskra U21, 3, 2, 1.23,5.56,9.93,
12/07/2021,14:00,CR Belouizdad U21, ASO Chlef U21, 5, 0, 1.32,4.51,8.45,
12/07/2021,14:00,MC Alger U21, USM Alger U21, 1, 0, 1.96,3.13,3.62,
12/07/2021,14:00,Medea U21, Skikda U21, 1, 2, 1.23,5.31,10.83,
12/07/2021,14:00,Paradou U21, Tlemcen U21, 2, 0, 1.26,5.03,9.65,
12/07/2021,14:00,RC Relizane U21, Magra U21, 3, 1, 2.21,3.19,3.05,
08/07/2021,13:45,Biskra U21, MC Alger U21, 2, 2, 3.50,3.44,1.90,
07/07/2021,16:00,ASO Chlef U21, Medea U21, 0, 0, 1.79,3.59,3.95,
07/07/2021,16:00,ES Setif U21, CR Belouizdad U21, 0, 1, 2.60,3.22,2.53,
07/07/2021,16:00,Tlemcen U21, RC Relizane U21, 1, 0, 1.50,3.84,5.62,
07/07/2021,16:00,USM Alger U21, Bel Abbes U21, 2, 0, 1.13,7.23,15.01,
07/07/2021,14:00,Hussein Dey U21, Bordj Bou Arreridj U21, 3, 1, 1.98,3.34,3.38,
07/07/2021,14:00,Mlila U21, Paradou U21, 2, 2, 6.85,4.28,1.41,
07/07/2021,13:45,Magra U21, Constantine U21, 2, 3, 3.69,3.40,1.91,
04/07/2021,06:00,Bel Abbes U21, CR Belouizdad U21, 0, 3, 8.46,5.37,1.25,
04/07/2021,06:00,Bordj Bou Arreridj U21, Biskra U21, 4, 2, 1.94,3.46,3.49,
04/07/2021,06:00,Constantine U21, Saoura U21, 1, 0, 2.34,2.99,3.04,
27/06/2021,06:00,Oran U21, CR Belouizdad U21, 1, 2, 2.62,3.18,2.53,
26/06/2021,06:00,Bel Abbes U21, Biskra U21, 0, 1, 3.14,3.46,2.07,
