visualizacoes;like;deslikes;like comentarios;qtd caracteres;codigo;opiniao;emoji ;densidade semantica;dificuldade;tristeza;alegria;medo;aversao;raiva;pontuacao;resultado
60.314;1600;5;0.933;101.933;0.133;0.867;0.0;1;1;0.433;0.732;0.263;0.394;0.0;0.444;0.5
215.767;8100;40;5.1;116.1;0.0;1.0;0.0;1;2;0.309;0.79;0.237;0.212;0.217;0.673;0.867
215.767;8100;40;5.1;116.1;0.0;1.0;0.0;1;1;0.309;0.79;0.237;0.212;0.217;0.673;0.867
215.767;8100;40;1.4;84.05;0.0;1.0;0.0;1;2;0.0;0.816;0.0;0.0;0.0;0.816;1.0
215.767;8100;40;1.4;84.05;0.0;1.0;0.0;1;1;0.0;0.816;0.0;0.0;0.0;0.816;1.0
215.767;8100;40;2.7;75.0;0.05;0.95;0.0;1;2;0.35;0.728;0.525;0.525;0.35;0.656;0.895
215.767;8100;40;2.7;75.0;0.05;0.95;0.0;1;1;0.35;0.728;0.525;0.525;0.35;0.656;0.895
215.767;8100;40;1.947;110.842;0.053;0.947;0.0;1;2;0.304;0.77;0.16;0.5;0.0;0.676;1.0
215.767;8100;40;1.947;110.842;0.053;0.947;0.0;1;1;0.304;0.77;0.16;0.5;0.0;0.676;1.0
45.634;2100;11;0.65;123.9;0.0;1.0;0.1;2;1;0.243;0.729;0.0;0.159;0.15;0.711;1.0
45.634;2100;11;0.65;123.9;0.0;1.0;0.1;1;1;0.243;0.729;0.0;0.159;0.15;0.711;1.0
45.634;2100;11;0.25;62.4;0.2;0.8;0.0;2;1;0.169;0.87;0.168;0.0;0.168;0.855;1.0
45.634;2100;11;0.25;62.4;0.2;0.8;0.0;1;1;0.169;0.87;0.168;0.0;0.168;0.855;1.0
45.634;2100;11;0.0;34.5;0.25;0.75;0.0;2;1;0.0;0.5;0.0;0.0;0.0;0.5;1.0
45.634;2100;11;0.0;34.5;0.25;0.75;0.0;1;1;0.0;0.5;0.0;0.0;0.0;0.5;1.0
53.410;5600;45;12.35;127.85;0.0;1.0;0.1;2;1;0.475;0.761;0.321;0.554;0.175;0.708;1.0
53.410;5600;45;12.35;127.85;0.0;1.0;0.1;1;2;0.475;0.761;0.321;0.554;0.175;0.708;1.0
53.410;5600;45;1.25;56.4;0.0;1.0;0.05;2;1;0.406;0.831;1.0;0.194;0.431;0.752;1.0
53.410;5600;45;1.25;56.4;0.0;1.0;0.05;1;2;0.406;0.831;1.0;0.194;0.431;0.752;1.0
53.410;5600;45;1.05;69.75;0.0;1.0;0.05;2;1;0.489;0.755;0.233;0.575;0.431;0.629;0.889
53.410;5600;45;1.05;69.75;0.0;1.0;0.05;1;2;0.489;0.755;0.233;0.575;0.431;0.629;0.889
53.410;5600;45;1.8;85.45;0.1;0.9;0.0;2;1;0.226;0.659;0.295;0.0;0.263;0.578;0.846
53.410;5600;45;1.8;85.45;0.1;0.9;0.0;1;2;0.226;0.659;0.295;0.0;0.263;0.578;0.846
53.410;5600;45;0.75;33.5;0.1;0.9;0.0;2;1;0.683;0.576;0.683;0.525;0.525;0.092;0.25
53.410;5600;45;0.75;33.5;0.1;0.9;0.0;1;2;0.683;0.576;0.683;0.525;0.525;0.092;0.25
53.410;5600;45;1.083;31.333;0.0;1.0;0.0;2;1;0.525;0.637;0.263;0.263;0.263;0.443;0.667
53.410;5600;45;1.083;31.333;0.0;1.0;0.0;1;2;0.525;0.637;0.263;0.263;0.263;0.443;0.667
7.378;135;7;0.8;84.6;0.0;1.0;0.0;1;1;0.145;0.672;0.0;0.0;0.145;0.647;1.0
7.378;135;7;0.8;84.6;0.0;1.0;0.0;1;1;0.145;0.672;0.0;0.0;0.145;0.647;1.0
126.553;6100;22;10.1;140.4;0.05;0.95;0.0;2;1;0.463;0.694;0.0;0.0;0.0;0.633;0.895
126.553;6100;22;10.1;140.4;0.05;0.95;0.0;1;1;0.463;0.694;0.0;0.0;0.0;0.633;0.895
126.553;6100;22;1.65;178.0;0.1;0.9;0.0;2;1;0.528;0.732;0.311;0.391;0.391;0.582;0.765
126.553;6100;22;1.65;178.0;0.1;0.9;0.0;1;1;0.528;0.732;0.311;0.391;0.391;0.582;0.765
